geoid10,dscore_2013,ascore_2013,pscore_2013,total_score,pop,dist,acre_pp,park_pp
371830520021002,1,4,4,9,124,0.554994,0.006846,0.000189
371830540071010,3,5,5,13,4,1.766708,0,0
371830505001024,1,4,2,7,32,0.272242,0.0066,0.001196
371830537241012,3,5,5,13,139,2.015877,0,0
371830528062022,2,4,4,10,19,0.853321,0.006846,0.000189
371830516001018,2,4,3,9,87,0.709978,0.005339,0.000661
371830540041008,1,4,4,9,336,0.232477,0.007237,0.000104
371830504002005,1,4,2,7,6,0.136425,0.004497,0.001319
371830541043043,2,1,4,7,25,1.115472,0.03317,0.0002
371830537142003,2,5,5,12,169,1.328344,0,0
371830527073023,2,4,4,10,107,1.071968,0.011337,0.000103
371830524061004,2,1,4,7,132,0.873326,0.035672,0.00032
371830541051009,3,5,5,13,94,2.221217,0,0
371830507003002,1,4,3,8,20,0.443044,0.002452,0.000941
371830527062020,3,5,5,13,7,2.166253,0,0
371830541054012,1,4,4,9,31,0.33138,0.011337,0.000103
371830526011012,2,4,4,10,96,0.665458,0.004062,0.000127
371830540072007,3,5,5,13,273,1.542018,0,0
371830525071009,2,5,5,12,29,1.307613,0,0
371830524041018,1,1,4,6,684,0.003004,0.035672,0.00032
371830528033038,2,4,4,10,265,1.13078,0.003839,0.000257
371830540043012,2,4,4,10,41,1.094113,0.007237,0.000104
371830537142030,2,3,4,9,168,0.855816,0.01352,0.000195
371830536102018,1,4,4,9,77,0.468988,0.001964,0.000197
371830516004001,1,4,4,9,15,0.576588,0.002704,0.000209
371830515022009,1,4,4,9,24,0.306179,0.00418,0.000402
371830507003022,1,4,2,7,33,0.046842,0.004172,0.001175
371830523022004,1,3,4,8,77,0.469587,0.021712,0.000194
371830506002027,1,4,2,7,11,0.298697,0.007081,0.001165
371830540141080,3,5,5,13,85,1.708069,0,0
371830506001007,1,4,3,8,58,0.306984,0.006516,0.000791
371830536101061,2,4,4,10,22,1.19122,0.001964,0.000197
